"filename", "language", "Python", "CSS", "HTML", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\ru.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\sk.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\sl.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\sq.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\sr-Cyrl.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\sr.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\sv.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\th.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\tk.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\tr.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\uk.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\vi.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\zh-CN.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\zh-TW.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\select2.full.js", "JavaScript", 0, 0, 0, 5102, 0, 0, 384, 1335, 6821
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\select2.full.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 0, 2
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\xregexp\xregexp.js", "JavaScript", 0, 0, 0, 3138, 0, 0, 1271, 244, 4653
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\xregexp\xregexp.min.js", "JavaScript", 0, 0, 0, 129, 0, 0, 31, 1, 161
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\credential.py", "Python", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\admin.py", "Python", 47, 0, 0, 0, 0, 0, 1, 13, 61
